Time,Load
20240106 03:00,114975.54
20240106 03:30,113609.39
20240106 04:00,111224.28
20240106 04:30,106661.37
20240106 05:00,99815.81
20240106 05:30,91946.22
20240106 06:00,82361.03
20240106 06:30,79261.46
20240106 07:00,70578.65
20240106 07:30,73728
20240106 08:00,77914.11
20240106 08:30,94792.97
20240106 09:00,107832.54
20240106 09:30,113697.22
20240106 10:00,116661.91
20240106 10:30,117574.21
20240106 11:00,115524.7
20240106 11:30,115505.41
20240106 12:00,115659.94
20240106 12:30,111084.59
20240106 13:00,104970.11
20240106 13:30,96162.88
20240106 14:00,82711.66
20240106 14:30,64823.33
20240106 15:00,46560.62
20240106 15:30,36207.06
20240106 16:00,37909.06
20240106 16:30,43645.69
20240106 17:00,52254.18
20240106 17:30,58870.08
20240106 18:00,63204.04
20240106 18:30,66483.07
20240106 19:00,68319.32
20240106 19:30,69630.23
20240106 20:00,70932.8
20240106 20:30,72048.09
20240106 21:00,72367.87
20240106 21:30,71310.69
20240106 22:00,69420.23
20240106 22:30,67392.71
20240106 23:00,78288.15
20240106 23:30,79492.64
20240107 00:00,78847.63
20240107 00:30,77063.77
20240107 01:00,89899.16
20240107 01:30,94533.81
20240107 02:00,98862.45
20240107 02:30,102739.91
20240107 03:00,105687.78
20240107 03:30,105865.37
20240107 04:00,104784.98
20240107 04:30,101316.83
20240107 05:00,94260.84
20240107 05:30,85416.69
20240107 06:00,73744.82
20240107 06:30,68174.66
20240107 07:00,61599.78
20240107 07:30,68967.68
20240107 08:00,80291.05
20240107 08:30,96890.37
20240107 09:00,112171.35
20240107 09:30,120756.91
20240107 10:00,123918.09
20240107 10:30,137352.95
20240107 11:00,139372.38
20240107 11:30,141925.93
20240107 12:00,135285.32
20240107 12:30,116342.59
20240107 13:00,96109.46
20240107 13:30,85644.92
20240107 14:00,75877.23
20240107 14:30,71511.59
20240107 15:00,63311.84
20240107 15:30,55522.02
20240107 16:00,53219.26
20240107 16:30,56524.12
20240107 17:00,64994.06
20240107 17:30,71533.52
20240107 18:00,75973.88
20240107 18:30,78577.13
20240107 19:00,80126.75
20240107 19:30,81096.02
20240107 20:00,82163.66
20240107 20:30,83011.37
20240107 21:00,83605.37
20240107 21:30,82107.24
20240107 22:00,79879.34
20240107 22:30,76542.84
20240107 23:00,86139.4
20240107 23:30,87254.97
20240108 00:00,88193.45
20240108 00:30,88232.19
20240108 01:00,103081.56
20240108 01:30,108847.12
20240108 02:00,113199.37
20240108 02:30,115993.55
20240108 03:00,117316.4
20240108 03:30,115537.18
20240108 04:00,112429.72
20240108 04:30,107141.88
20240108 05:00,99153.64
20240108 05:30,90301.37
20240108 06:00,80628.85
20240108 06:30,78553.75
20240108 07:00,67857.39
20240108 07:30,70334.7
20240108 08:00,83726.05
20240108 08:30,104068.73
20240108 09:00,120215.88
20240108 09:30,127346.51
20240108 10:00,128147.07
20240108 10:30,126084.71
20240108 11:00,123902.35
20240108 11:30,122826.98
20240108 12:00,121395.28
20240108 12:30,118001.26
20240108 13:00,113788.34
20240108 13:30,107207.36
20240108 14:00,95548.93
20240108 14:30,77907.64
20240108 15:00,57842.37
20240108 15:30,45289.22
20240108 16:00,47741.8
20240108 16:30,58017.14
20240108 17:00,70170.11
20240108 17:30,79436.26
20240108 18:00,85852.56
20240108 18:30,90663.33
20240108 19:00,93784.48
20240108 19:30,96574.35
20240108 20:00,99228.77
20240108 20:30,101063.29
20240108 21:00,100923.73
20240108 21:30,98281.3
20240108 22:00,94427.8
20240108 22:30,89975.9
20240108 23:00,102880.18
20240108 23:30,105045.27
20240109 00:00,105067.15
20240109 00:30,103140.79
20240109 01:00,117008
20240109 01:30,120485.14
20240109 02:00,122976.71
20240109 02:30,123469.49
20240109 03:00,122525.02
20240109 03:30,119127.01
20240109 04:00,115032.16
20240109 04:30,109784.21
20240109 05:00,105723.26
20240109 05:30,103967.3
20240109 06:00,103028.48
20240109 06:30,104911.16
20240109 07:00,92385.75
20240109 07:30,82274.36
20240109 08:00,80611.5
20240109 08:30,95433.96
20240109 09:00,112044.04
20240109 09:30,119071.96
20240109 10:00,120528.69
20240109 10:30,119552.22
20240109 11:00,118332.44
20240109 11:30,117808.38
20240109 12:00,117538.89
20240109 12:30,113750.67
20240109 13:00,109626.09
20240109 13:30,102741.17
20240109 14:00,90759.48
20240109 14:30,72902.08
20240109 15:00,53540.32
20240109 15:30,41486.09
20240109 16:00,43115.64
20240109 16:30,50859.72
20240109 17:00,61551
20240109 17:30,70232.79
20240109 18:00,77849.99
20240109 18:30,84277.09
20240109 19:00,89005.35
20240109 19:30,92359.11
20240109 20:00,95227.16
20240109 20:30,97327.8
20240109 21:00,97928.56
20240109 21:30,96391.26
20240109 22:00,93229.43
20240109 22:30,89131.78
20240109 23:00,101208.81
20240109 23:30,103256.39
20240110 00:00,103254.41
20240110 00:30,101506.65
20240110 01:00,116138
20240110 01:30,120264.88
20240110 02:00,123024.9
20240110 02:30,124013.05
20240110 03:00,123953.39
20240110 03:30,121572.74
20240110 04:00,119016.33
20240110 04:30,115301.01
20240110 05:00,112171.49
20240110 05:30,110627.37
20240110 06:00,108749.66
20240110 06:30,109939.51
20240110 07:00,93010.87
20240110 07:30,83960.64
20240110 08:00,86622.8
20240110 08:30,98502.96
20240110 09:00,109802.4
20240110 09:30,114615.16
20240110 10:00,109980.62
20240110 10:30,101834.01
20240110 11:00,96057.67
20240110 11:30,87434.57
20240110 12:00,91807.88
20240110 12:30,89324.82
20240110 13:00,83416.49
20240110 13:30,70567.74
20240110 14:00,62811.27
20240110 14:30,54439.32
20240110 15:00,48365.97
20240110 15:30,50258.49
20240110 16:00,49619.87
20240110 16:30,53755.72
20240110 17:00,63251.91
20240110 17:30,70966.83
20240110 18:00,77362.71
20240110 18:30,82325.47
20240110 19:00,85767.1
20240110 19:30,88191.9
20240110 20:00,90153.66
20240110 20:30,91326.41
20240110 21:00,91235.19
20240110 21:30,89249.62
20240110 22:00,86208.78
20240110 22:30,82266.64
20240110 23:00,91946.57
20240110 23:30,92261.73
20240111 00:00,90840.82
20240111 00:30,88647.45
20240111 01:00,101845.82
20240111 01:30,106691.13
20240111 02:00,110506.38
20240111 02:30,112710.93
20240111 03:00,113851.98
20240111 03:30,112617.51
20240111 04:00,111096.82
20240111 04:30,108031.1
20240111 05:00,104337.28
20240111 05:30,101039.95
20240111 06:00,97786.7
20240111 06:30,97598.5
20240111 07:00,87985.61
20240111 07:30,85567.2
20240111 08:00,81964.51
20240111 08:30,90497.97
20240111 09:00,108696.33
20240111 09:30,105954.7
20240111 10:00,97784.9
20240111 10:30,103844.97
20240111 11:00,115618.68
20240111 11:30,115158.92
20240111 12:00,94588.53
20240111 12:30,90359.74
20240111 13:00,89412.28
20240111 13:30,72083.03
20240111 14:00,53069.74
20240111 14:30,56385
20240111 15:00,59632.91
