Time,Load
20240106 03:00,102570.7
20240106 03:30,101903.79
20240106 04:00,100189.84
20240106 04:30,96484.75
20240106 05:00,90673.21
20240106 05:30,83795.43
20240106 06:00,75382.32
20240106 06:30,71578.03
20240106 07:00,59862.9
20240106 07:30,53384.27
20240106 08:00,50633.54
20240106 08:30,50498.31
20240106 09:00,50055.51
20240106 09:30,49082.35
20240106 10:00,46530.06
20240106 10:30,41195.58
20240106 11:00,42768.2
20240106 11:30,41460.59
20240106 12:00,39908.45
20240106 12:30,36230.21
20240106 13:00,33240.26
20240106 13:30,30210.28
20240106 14:00,27528.77
20240106 14:30,24098.05
20240106 15:00,22386.03
20240106 15:30,25477.58
20240106 16:00,33369.33
20240106 16:30,41702.66
20240106 17:00,49848.65
20240106 17:30,55792.07
20240106 18:00,59594.21
20240106 18:30,61957.15
20240106 19:00,63336.12
20240106 19:30,64256.72
20240106 20:00,65387.56
20240106 20:30,66417.78
20240106 21:00,67054.72
20240106 21:30,66503.64
20240106 22:00,65206.97
20240106 22:30,63350
20240106 23:00,73025.21
20240106 23:30,73592.71
20240107 00:00,72059.02
20240107 00:30,69152.08
20240107 01:00,79040.41
20240107 01:30,83193.45
20240107 02:00,86686.29
20240107 02:30,90580.85
20240107 03:00,93838.86
20240107 03:30,94979.17
20240107 04:00,94906.73
20240107 04:30,92448.2
20240107 05:00,86878.5
20240107 05:30,79229.85
20240107 06:00,69591.16
20240107 06:30,63429.72
20240107 07:00,52317.78
20240107 07:30,47480.34
20240107 08:00,46869.13
20240107 08:30,48442.07
20240107 09:00,49316.46
20240107 09:30,51004.81
20240107 10:00,52374.37
20240107 10:30,49768.52
20240107 11:00,48069.26
20240107 11:30,46939.59
20240107 12:00,43909.73
20240107 12:30,39791.85
20240107 13:00,40270.19
20240107 13:30,41858.3
20240107 14:00,41280.42
20240107 14:30,40113.21
20240107 15:00,37904.78
20240107 15:30,38992.02
20240107 16:00,45718.35
20240107 16:30,53815.5
20240107 17:00,63269.94
20240107 17:30,69975
20240107 18:00,74212.43
20240107 18:30,76457.28
20240107 19:00,77472.95
20240107 19:30,78378.42
20240107 20:00,79814.07
20240107 20:30,80558.84
20240107 21:00,81161.75
20240107 21:30,80442.69
20240107 22:00,79149.13
20240107 22:30,76399.67
20240107 23:00,85287.32
20240107 23:30,85982.64
20240108 00:00,85109.22
20240108 00:30,83664.46
20240108 01:00,95522.97
20240108 01:30,100116.55
20240108 02:00,103488.69
20240108 02:30,105773.92
20240108 03:00,106779.63
20240108 03:30,104646.34
20240108 04:00,101379.67
20240108 04:30,96109.55
20240108 05:00,89264.83
20240108 05:30,82126.39
20240108 06:00,75084.08
20240108 06:30,73177.46
20240108 07:00,62597.76
20240108 07:30,56685.34
20240108 08:00,54610.07
20240108 08:30,55817.8
20240108 09:00,56343.11
20240108 09:30,55425.76
20240108 10:00,53374.67
20240108 10:30,50896.04
20240108 11:00,49129.72
20240108 11:30,48420.08
20240108 12:00,46421.32
20240108 12:30,43000.04
20240108 13:00,39193.1
20240108 13:30,36457.26
20240108 14:00,32957.1
20240108 14:30,29576.95
20240108 15:00,29333.02
20240108 15:30,33707.8
20240108 16:00,43867.79
20240108 16:30,54501.26
20240108 17:00,66035.64
20240108 17:30,74022.68
20240108 18:00,79593.6
20240108 18:30,82951.09
20240108 19:00,85091.87
20240108 19:30,86858.97
20240108 20:00,89028.16
20240108 20:30,90772.57
20240108 21:00,91057.09
20240108 21:30,89114.75
20240108 22:00,85963.39
20240108 22:30,82086.61
20240108 23:00,91834.36
20240108 23:30,93002.39
20240109 00:00,92473.46
20240109 00:30,90585.39
20240109 01:00,102004.76
20240109 01:30,105643.1
20240109 02:00,107983.97
20240109 02:30,108825.63
20240109 03:00,108913.07
20240109 03:30,106567.77
20240109 04:00,104035.73
20240109 04:30,99977.96
20240109 05:00,96806.1
20240109 05:30,95328.49
20240109 06:00,94746.25
20240109 06:30,96981.83
20240109 07:00,82936.21
20240109 07:30,68403.66
20240109 08:00,56617.85
20240109 08:30,51556.41
20240109 09:00,49744.91
20240109 09:30,46649.81
20240109 10:00,44217.2
20240109 10:30,41639.08
20240109 11:00,39545.48
20240109 11:30,39386.79
20240109 12:00,37899.41
20240109 12:30,35652.99
20240109 13:00,32297.43
20240109 13:30,29535.65
20240109 14:00,26595.81
20240109 14:30,24362.88
20240109 15:00,24073.33
20240109 15:30,27731.67
20240109 16:00,37314.38
20240109 16:30,48185.58
20240109 17:00,58448.54
20240109 17:30,66045.22
20240109 18:00,72347.95
20240109 18:30,77494.98
20240109 19:00,81363.35
20240109 19:30,84144.57
20240109 20:00,86763.12
20240109 20:30,88947.49
20240109 21:00,90073.4
20240109 21:30,89175.43
20240109 22:00,86359.4
20240109 22:30,82927.1
20240109 23:00,92588.51
20240109 23:30,93561.64
20240110 00:00,92674.08
20240110 00:30,90538.29
20240110 01:00,102137.04
20240110 01:30,106175.69
20240110 02:00,108969.3
20240110 02:30,110530.93
20240110 03:00,110733.36
20240110 03:30,108483.08
20240110 04:00,106016.52
20240110 04:30,102183.96
20240110 05:00,99125.26
20240110 05:30,97097.92
20240110 06:00,95975.99
20240110 06:30,97249.51
20240110 07:00,82971.22
20240110 07:30,67696.69
20240110 08:00,55689.91
20240110 08:30,50156.62
20240110 09:00,47409.51
20240110 09:30,44520.86
20240110 10:00,41160.18
20240110 10:30,39982.96
20240110 11:00,38870.24
20240110 11:30,36626.79
20240110 12:00,38633.08
20240110 12:30,37392.46
20240110 13:00,35214.99
20240110 13:30,34167.37
20240110 14:00,34987.24
20240110 14:30,33396.23
20240110 15:00,32936.95
20240110 15:30,38198.86
20240110 16:00,43835.32
20240110 16:30,51743.06
20240110 17:00,61096.04
20240110 17:30,68044.92
20240110 18:00,73959.53
20240110 18:30,78624.69
20240110 19:00,81687.36
20240110 19:30,83482.11
20240110 20:00,85287.36
20240110 20:30,86712.19
20240110 21:00,86892.97
20240110 21:30,85244.32
20240110 22:00,82759.9
20240110 22:30,78875.4
20240110 23:00,86339.74
20240110 23:30,85403.88
20240111 00:00,82769.35
20240111 00:30,79596.79
20240111 01:00,89738.52
20240111 01:30,93876.85
20240111 02:00,97747.1
20240111 02:30,100791.51
20240111 03:00,103043.24
20240111 03:30,103095.66
20240111 04:00,102973.15
20240111 04:30,101591.11
20240111 05:00,99053.93
20240111 05:30,96176.8
20240111 06:00,92901.27
20240111 06:30,91657.95
20240111 07:00,80240.39
20240111 07:30,73995.39
20240111 08:00,64675.14
20240111 08:30,57674.18
20240111 09:00,54759.75
20240111 09:30,52260.47
20240111 10:00,49170.5
20240111 10:30,48624.27
20240111 11:00,50116.09
20240111 11:30,48794.76
20240111 12:00,50466.36
20240111 12:30,49953.91
20240111 13:00,49134.92
20240111 13:30,45625.35
20240111 14:00,42447.6
20240111 14:30,44794.42
